0.510000	Snare
0.530000	Hi_Hats
0.790000	Kick
0.790000	Toms
1.050000	Kick
1.090000	Hi_Hats
1.360000	Snare
1.640000	Hi_Hats
1.900000	Toms
2.190000	Kick
2.730000	Snare
2.730000	Hi_Hats
3.000000	Kick
3.270000	Kick
3.560000	Snare
3.590000	Hi_Hats
3.830000	Hi_Hats
4.100000	Toms
4.380000	Kick
4.910000	Snare
4.910000	Toms
5.180000	Kick
5.450000	Kick
5.450000	Toms
5.730000	Snare
5.990000	Hi_Hats
6.260000	Toms
6.550000	Kick
7.080000	Snare
7.090000	Hi_Hats
7.210000	Toms
7.360000	Kick
7.620000	Kick
7.910000	Snare
8.190000	Hi_Hats
8.450000	Toms
8.750000	Kick
9.270000	Snare
9.270000	Hi_Hats
9.390000	Toms
9.550000	Kick
9.810000	Kick
10.100000	Hi_Hats
10.230000	Hi_Hats
